,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
AKRA.JK,0.00,93767.62,1678147.07,292388.92,400089.22,3502111.74,1400469.58,1441544.01,30846.53,113963.71,117906.69,369954.52,1838420.16,127992.95,60845.03,259011.90,454990.52,387188.10,303604.38,31926.72,4328947.20,1563260.31,2336773.34,3287177.65,54725.40,1412228.87,118751.76,197563.54,337520.90,70905.95,66431.40,347661.45,1331645.89,437004.64,569733.77,351157.33,362514.24,462770.79,1733586.45,105968.59,51986.06,386115.41,880455.26,9895052.99,701492.34
ANTM.JK,93767.62,0.00,1597881.07,275636.44,480355.22,3421845.74,1320203.58,1361278.01,154671.11,58233.15,238392.44,450220.52,1758154.16,77020.75,192317.07,391455.78,535256.52,467454.10,383870.38,62525.26,4248681.20,1482994.31,2256507.34,3206911.65,138548.54,1331962.87,35715.31,280895.90,417786.90,190465.68,94403.91,427927.45,1251379.89,517270.64,649999.77,431423.33,365096.00,543036.79,1653320.45,86593.32,74071.93,466381.41,800189.26,9814786.99,560095.14
ASII.JK,1678147.07,1597881.07,0.00,1314574.59,2078236.29,1823964.67,187891.86,131592.22,1767260.11,1512266.77,1836273.51,2048101.59,142238.82,1637688.36,1798284.61,2001161.85,2133137.59,2065335.17,1981751.45,1681099.40,2650800.13,279570.17,564078.23,1519070.04,1711030.13,232370.89,1552607.64,1878776.97,2015667.97,1824485.64,1709591.13,2025808.52,377395.77,2115151.71,2247880.84,2029304.40,1240619.83,2140917.86,260562.77,1493462.31,1773428.70,2064262.48,797691.81,8216905.92,961404.11
AUTO.JK,292388.92,275636.44,1314574.59,0.00,763661.70,3138539.26,1036897.10,1077971.53,419455.78,112604.24,521698.92,733527.00,1474847.68,300839.53,466888.29,681755.79,818563.00,750760.58,667176.86,262842.88,3965374.72,1169061.67,1973200.86,2923605.17,186956.46,1035666.96,220563.92,564202.38,701093.38,491811.95,182887.96,711233.93,813991.65,800577.12,933306.25,714729.81,108283.69,826343.27,1256890.40,90837.88,332903.08,749687.89,378587.33,9531480.51,281852.48
AVIA.JK,400089.22,480355.22,2078236.29,763661.70,0.00,3902200.96,1800558.80,1841633.23,310976.18,565969.52,241962.78,19817.15,2238509.38,440547.93,279951.68,79618.63,47722.73,24094.01,89173.57,397136.89,4729036.42,1963349.53,2736862.56,3687266.87,367206.16,1812318.09,525628.65,199459.32,40123.28,251658.45,368645.16,47987.23,1731735.11,21771.06,169644.55,39667.18,837616.46,46694.47,2133675.67,584773.98,304807.59,55808.61,1280544.48,10295142.21,1116832.18
BBCA.JK,3502111.74,3421845.74,1823964.67,3138539.26,3902200.96,0.00,2101642.16,2060567.73,3591224.78,3336231.44,3660238.18,3872066.26,1663691.58,3461653.03,3622249.28,3825126.52,3957102.26,3889299.84,3805716.12,3505064.07,446194.02,1938851.43,943602.51,642855.93,3534994.80,2089882.87,3376572.31,3702741.64,3839632.64,3648450.31,3533555.80,3849773.19,2170465.85,3939116.38,4071845.51,3853269.07,3064584.50,3964882.53,1768525.29,3317426.98,3597393.37,3888227.15,2621656.48,6392941.25,2785368.78
BBNI.JK,1400469.58,1320203.58,187891.86,1036897.10,1800558.80,2101642.16,0.00,47941.41,1489582.62,1234589.28,1558596.02,1770424.10,236153.30,1360010.87,1520607.12,1723484.36,1855460.10,1787657.68,1704073.96,1403421.91,2928477.62,420983.13,936303.76,1886708.07,1433352.64,82048.05,1274930.15,1601099.48,1737990.48,1546808.15,1431913.64,1748131.03,405228.89,1837474.22,1970203.35,1751626.91,933444.69,1863240.37,551238.11,1215784.82,1495751.21,1786584.99,435906.95,8494583.41,562636.24
BBRI.JK,1441544.01,1361278.01,131592.22,1077971.53,1841633.23,2060567.73,47941.41,0.00,1530657.05,1275663.71,1599670.45,1811498.53,235340.69,1401085.30,1561681.55,1764558.79,1896534.53,1828732.11,1745148.39,1444496.34,2887403.19,311750.51,860131.55,1845633.64,1474427.07,109309.44,1316004.58,1642173.91,1779064.91,1587882.58,1472988.07,1789205.46,247544.23,1878548.65,2011277.78,1792701.34,996819.49,1904314.80,362380.74,1256859.25,1536825.64,1827659.42,436978.61,8453508.98,523937.05
BBTN.JK,30846.53,154671.11,1767260.11,419455.78,310976.18,3591224.78,1489582.62,1530657.05,0.00,241288.13,28290.85,280841.48,1927533.20,153535.47,18534.83,178025.97,365877.48,294365.88,191049.38,64789.53,4418060.24,1652373.35,2425886.38,3376290.69,60830.73,1501341.91,184450.99,85428.22,248407.86,45952.06,71227.91,258548.41,1420758.93,347891.60,480620.73,262044.29,472832.86,373657.75,1822699.49,216003.48,54651.48,297002.37,969568.30,9984166.03,805856.00
BIRD.JK,113963.71,58233.15,1512266.77,112604.24,565969.52,3336231.44,1234589.28,1275663.71,241288.13,0.00,324006.74,535834.82,1672539.86,135847.18,286017.84,488895.08,620870.82,553068.40,469484.68,119255.67,4163066.90,1397380.01,2170893.04,3121297.35,146863.76,1246348.57,59468.58,366510.20,503401.20,288394.77,143367.88,513541.75,1165765.59,602884.94,735614.07,517037.63,223657.77,628651.09,1567706.15,28791.19,181742.57,551995.71,714574.96,9729172.69,428941.12
BJBR.JK,117906.69,238392.44,1836273.51,521698.92,241962.78,3660238.18,1558596.02,1599670.45,28290.85,324006.74,0.00,211828.08,1996546.60,161743.22,32023.34,176425.07,296864.08,203109.78,108764.33,135734.22,4487073.64,1721386.75,2494899.78,3445304.09,120681.59,1570355.31,283665.87,23875.31,179394.46,57570.54,117035.00,189535.01,1489772.33,278878.20,411607.33,193030.89,595653.68,304644.35,1891712.89,342811.20,49506.59,227163.97,1038581.70,10053179.43,874869.40
BJTM.JK,369954.52,450220.52,2048101.59,733527.00,19817.15,3872066.26,1770424.10,1811498.53,280841.48,535834.82,211828.08,0.00,2208374.68,410413.23,249816.98,56603.92,83466.00,28084.35,65747.22,367002.19,4698901.72,1933214.83,2706727.86,3657132.17,337071.46,1782183.39,495493.95,169324.62,16498.38,217615.17,338510.46,25063.52,1701600.41,65147.12,199779.25,21917.65,807481.76,92816.27,2103540.97,554639.28,274672.89,65245.38,1250409.78,10265007.51,1086697.48
BMRI.JK,1838420.16,1758154.16,142238.82,1474847.68,2238509.38,1663691.58,236153.30,235340.69,1927533.20,1672539.86,1996546.60,2208374.68,0.00,1797961.45,1958557.70,2161434.94,2293410.68,2225608.26,2142024.54,1841372.49,2490527.04,566359.19,362286.69,1376295.50,1871303.22,224387.22,1712880.73,2039050.06,2175941.06,1984758.73,1869864.22,2186081.61,491621.28,2275424.80,2408153.93,2189577.49,1400892.92,2301190.95,410218.57,1653735.40,1933701.79,2224535.57,957964.90,8056632.83,1116451.56
BTPS.JK,127992.95,77020.75,1637688.36,300839.53,440547.93,3461653.03,1360010.87,1401085.30,153535.47,135847.18,161743.22,410413.23,1797961.45,0.00,179732.77,357103.49,495449.23,382560.43,287159.20,133743.09,4288488.49,1522801.60,2296314.63,3246718.94,199068.92,1371770.16,41938.10,215072.01,377979.61,164144.77,148963.22,388120.16,1291187.18,477463.35,610192.48,391616.04,449059.29,503229.50,1693127.74,190780.07,65572.70,425094.12,839996.55,9854594.28,512016.85
CTRA.JK,60845.03,192317.07,1798284.61,466888.29,279951.68,3622249.28,1520607.12,1561681.55,18534.83,286017.84,32023.34,249816.98,1958557.70,179732.77,0.00,126004.53,334852.98,234695.48,140055.21,101784.30,4449084.74,1683397.85,2456910.88,3407315.19,70058.85,1532366.41,234500.17,50955.47,217383.36,33860.60,86820.49,227523.91,1451783.43,316867.10,449596.23,231019.79,512199.01,342633.25,1853723.99,253507.03,64097.33,248509.08,1000592.80,10015190.53,836880.50
DSNG.JK,259011.90,391455.78,2001161.85,681755.79,79618.63,3825126.52,1723484.36,1764558.79,178025.97,488895.08,176425.07,56603.92,2161434.94,357103.49,126004.53,0.00,121678.92,70517.25,32243.58,290610.42,4651961.98,1886275.09,2659788.12,3610192.43,213772.31,1735243.65,444164.21,101961.36,47522.91,28823.05,248755.72,42656.83,1654660.67,104049.64,246718.99,54341.24,722132.26,139756.01,2056601.23,461064.32,213668.15,38760.12,1203470.04,10218067.77,1039757.74
ELSA.JK,454990.52,535256.52,2133137.59,818563.00,47722.73,3957102.26,1855460.10,1896534.53,365877.48,620870.82,296864.08,83466.00,2293410.68,495449.23,334852.98,121678.92,0.00,71230.61,138582.00,452038.19,4783937.72,2018250.83,2791763.86,3742168.17,422107.46,1867219.39,580529.95,254360.62,117469.62,308651.95,423546.46,103438.97,1786636.41,21276.65,114743.25,95118.65,892517.76,14060.37,2188576.97,639675.28,359708.89,56476.48,1335445.78,10350043.51,1171733.48
EMTK.JK,387188.10,467454.10,2065335.17,750760.58,24094.01,3889299.84,1787657.68,1828732.11,294365.88,553068.40,203109.78,28084.35,2225608.26,382560.43,234695.48,70517.25,71230.61,0.00,61738.16,384235.77,4716135.30,1950448.41,2723961.44,3674365.75,354305.04,1799416.97,512727.53,178413.27,39605.98,241824.49,355744.04,54305.50,1718833.99,44723.93,182545.67,22687.66,824715.34,63702.26,2120774.55,571872.86,289219.99,56279.65,1267643.36,10282241.09,1103931.06
ESSA.JK,303604.38,383870.38,1981751.45,667176.86,89173.57,3805716.12,1704073.96,1745148.39,191049.38,469484.68,108764.33,65747.22,2142024.54,287159.20,140055.21,32243.58,138582.00,61738.16,0.00,300652.05,4632551.58,1866864.69,2640377.72,3590782.03,270303.92,1715833.25,429143.81,74883.92,44858.29,83114.71,272160.32,47583.11,1635250.27,120990.04,266129.39,45970.49,741131.62,159166.41,2037190.83,488289.14,191873.39,41816.50,1184059.64,10198657.37,1020347.34
HEAL.JK,31926.72,62525.26,1681099.40,262842.88,397136.89,3505064.07,1403421.91,1444496.34,64789.53,119255.67,135734.22,367002.19,1841372.49,133743.09,101784.30,290610.42,452038.19,384235.77,300652.05,0.00,4331899.53,1566212.64,2339725.67,3290129.98,48354.51,1415181.20,103809.30,197677.57,334568.57,115518.90,37791.93,344709.12,1334598.22,434052.31,566781.44,348205.00,344247.34,459818.46,1736538.78,90892.85,41300.51,383163.08,883407.59,9898005.32,719450.29
ICBP.JK,4328947.20,4248681.20,2650800.13,3965374.72,4729036.42,446194.02,2928477.62,2887403.19,4418060.24,4163066.90,4487073.64,4698901.72,2490527.04,4288488.49,4449084.74,4651961.98,4783937.72,4716135.30,4632551.58,4331899.53,0.00,2765686.89,1992173.86,903254.24,4361830.26,2916718.33,4203407.77,4529577.10,4666468.10,4475285.77,4360391.26,4676608.65,2997301.31,4765951.84,4898680.97,4680104.53,3891419.96,4791717.99,2595360.75,4144262.44,4424228.83,4715062.61,3448491.94,5566105.79,3612204.24
INCO.JK,1563260.31,1482994.31,279570.17,1169061.67,1963349.53,1938851.43,420983.13,311750.51,1652373.35,1397380.01,1721386.75,1933214.83,566359.19,1522801.60,1683397.85,1886275.09,2018250.83,1950448.41,1866864.69,1566212.64,2765686.89,0.00,717130.64,1350986.38,1596143.37,491307.15,1437720.88,1763890.21,1900781.21,1709598.88,1594704.37,1910921.76,171038.60,2000264.95,2132994.08,1914417.64,1090583.07,2026031.10,69656.95,1378575.55,1658541.94,1949375.72,480552.33,8331792.68,567661.88
INDF.JK,2336773.34,2256507.34,564078.23,1973200.86,2736862.56,943602.51,936303.76,860131.55,2425886.38,2170893.04,2494899.78,2706727.86,362286.69,2296314.63,2456910.88,2659788.12,2791763.86,2723961.44,2640377.72,2339725.67,1992173.86,717130.64,0.00,893838.49,2369656.40,924203.79,2211233.91,2537403.24,2674294.24,2483111.91,2368217.40,2684434.79,888251.03,2773777.98,2906507.11,2687930.67,1899246.10,2799544.13,581306.96,2152088.58,2432054.97,2722888.75,1456318.08,7558279.65,1620030.38
INTP.JK,3287177.65,3206911.65,1519070.04,2923605.17,3687266.87,642855.93,1886708.07,1845633.64,3376290.69,3121297.35,3445304.09,3657132.17,1376295.50,3246718.94,3407315.19,3610192.43,3742168.17,3674365.75,3590782.03,3290129.98,903254.24,1350986.38,893838.49,0.00,3320060.71,1874948.78,3161638.22,3487807.55,3624698.55,3433516.22,3318621.71,3634839.10,1808139.01,3724182.29,3856911.42,3638334.98,2849650.41,3749948.44,1224374.01,3102492.89,3382459.28,3673293.06,2406722.39,6607875.34,2570434.69
JPFA.JK,54725.40,138548.54,1711030.13,186956.46,367206.16,3534994.80,1433352.64,1474427.07,60830.73,146863.76,120681.59,337071.46,1871303.22,199068.92,70058.85,213772.31,422107.46,354305.04,270303.92,48354.51,4361830.26,1596143.37,2369656.40,3320060.71,0.00,1445111.93,194402.10,151765.09,304637.84,113154.36,22077.63,314778.39,1364528.95,404121.58,536850.71,318274.27,233477.45,429887.73,1766469.51,60817.07,53861.33,353232.35,913338.32,9927936.05,755914.66
JSMR.JK,1412228.87,1331962.87,232370.89,1035666.96,1812318.09,2089882.87,82048.05,109309.44,1501341.91,1246348.57,1570355.31,1782183.39,224387.22,1371770.16,1532366.41,1735243.65,1867219.39,1799416.97,1715833.25,1415181.20,2916718.33,491307.15,924203.79,1874948.78,1445111.93,0.00,1286689.44,1612858.77,1749749.77,1558567.44,1443672.93,1759890.32,468866.09,1849233.51,1981962.64,1763386.20,716031.88,1874999.66,583095.28,1227544.11,1507510.50,1798344.28,540879.82,8482824.12,737952.41
KLBF.JK,118751.76,35715.31,1552607.64,220563.92,525628.65,3376572.31,1274930.15,1316004.58,184450.99,59468.58,283665.87,495493.95,1712880.73,41938.10,234500.17,444164.21,580529.95,512727.53,429143.81,103809.30,4203407.77,1437720.88,2211233.91,3161638.22,194402.10,1286689.44,0.00,326169.33,463060.33,195726.98,160012.29,473200.88,1206106.46,562544.07,695273.20,476696.76,362429.80,588310.22,1608047.02,107869.48,90947.00,511654.84,754915.83,9769513.56,426178.73
MPMX.JK,197563.54,280895.90,1878776.97,564202.38,199459.32,3702741.64,1601099.48,1642173.91,85428.22,366510.20,23875.31,169324.62,2039050.06,215072.01,50955.47,101961.36,254360.62,178413.27,74883.92,197677.57,4529577.10,1763890.21,2537403.24,3487807.55,151765.09,1612858.77,326169.33,0.00,136891.00,59000.29,167574.68,147031.55,1532275.79,236374.74,369103.87,150527.43,638157.14,262140.89,1934216.35,385314.66,82320.82,157867.75,1081085.16,10095682.89,917372.86
MTEL.JK,337520.90,417786.90,2015667.97,701093.38,40123.28,3839632.64,1737990.48,1779064.91,248407.86,503401.20,179394.46,16498.38,2175941.06,377979.61,217383.36,47522.91,117469.62,39605.98,44858.29,334568.57,4666468.10,1900781.21,2674294.24,3624698.55,304637.84,1749749.77,463060.33,136891.00,0.00,181838.15,306076.84,14447.90,1669166.79,99483.74,232212.87,14335.35,775048.14,125249.89,2071107.35,522205.66,242239.27,72197.84,1217976.16,10232573.89,1054263.86
PGEO.JK,70905.95,190465.68,1824485.64,491811.95,251658.45,3648450.31,1546808.15,1587882.58,45952.06,288394.77,57570.54,217615.17,1984758.73,164144.77,33860.60,28823.05,308651.95,241824.49,83114.71,115518.90,4475285.77,1709598.88,2483111.91,3433516.22,113154.36,1558567.44,195726.98,59000.29,181838.15,0.00,123430.31,177543.69,1477984.46,290666.07,423395.20,173391.04,555720.09,316432.22,1879925.02,292848.93,90035.95,129881.05,1026793.83,10041391.56,863081.53
PNBN.JK,66431.40,94403.91,1709591.13,182887.96,368645.16,3533555.80,1431913.64,1472988.07,71227.91,143367.88,117035.00,338510.46,1869864.22,148963.22,86820.49,248755.72,423546.46,355744.04,272160.32,37791.93,4360391.26,1594704.37,2368217.40,3318621.71,22077.63,1443672.93,160012.29,167574.68,306076.84,123430.31,0.00,316217.39,1363089.95,405560.58,538289.71,319713.27,241403.84,431326.73,1765030.51,54448.99,35035.07,354671.35,911899.32,9926497.05,755803.47
POWR.JK,347661.45,427927.45,2025808.52,711233.93,47987.23,3849773.19,1748131.03,1789205.46,258548.41,513541.75,189535.01,25063.52,2186081.61,388120.16,227523.91,42656.83,103438.97,54305.50,47583.11,344709.12,4676608.65,1910921.76,2684434.79,3634839.10,314778.39,1759890.32,473200.88,147031.55,14447.90,177543.69,316217.39,0.00,1679307.34,88129.77,222072.32,30214.45,785188.69,115109.34,2081247.90,532346.21,252379.82,35097.43,1228116.71,10242714.44,1064404.41
PRDA.JK,1331645.89,1251379.89,377395.77,813991.65,1731735.11,2170465.85,405228.89,247544.23,1420758.93,1165765.59,1489772.33,1701600.41,491621.28,1291187.18,1451783.43,1654660.67,1786636.41,1718833.99,1635250.27,1334598.22,2997301.31,171038.60,888251.03,1808139.01,1364528.95,468866.09,1206106.46,1532275.79,1669166.79,1477984.46,1363089.95,1679307.34,0.00,1768650.53,1901379.66,1682803.22,916998.65,1794416.68,108587.58,1146961.13,1426927.52,1717761.30,392459.37,8563407.10,404989.55
PWON.JK,437004.64,517270.64,2115151.71,800577.12,21771.06,3939116.38,1837474.22,1878548.65,347891.60,602884.94,278878.20,65147.12,2275424.80,477463.35,316867.10,104049.64,21276.65,44723.93,120990.04,434052.31,4765951.84,2000264.95,2773777.98,3724182.29,404121.58,1849233.51,562544.07,236374.74,99483.74,290666.07,405560.58,88129.77,1768650.53,0.00,132729.13,73267.04,874531.88,14101.93,2170591.09,621689.40,341723.01,42434.06,1317459.90,10332057.63,1153747.60
